ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
1,the supervisor said to check the sales.,Retail,Advanced,"['checkout', 'customer', 'sales']",Reported Speech,Difficult,Writing,Check the sales.,What did the supervisor say?,Check the sales.,"['Use a different sales.', 'Ignore the sales.']"
2,"If it is damaged, store the system.",IT,Intermediate,"['reboot', 'system', 'network']",Conditional Sentences,Moderate,Listening,Store the system.,What happens if the it is damaged?,Store the system.,"['Do nothing with the system.', 'Use a different system.']"
3,software must be clean.,IT,Advanced,"['network', 'software', 'reboot']",Passive Voice,Difficult,Listening,Clean the software.,What must be done with the software?,Clean the software.,"['Ignore the software.', 'Do nothing with the software.']"
4,reboot must be check.,IT,Advanced,"['network', 'reboot', 'software']",Passive Voice,Difficult,Reading,Check the reboot.,What must be done with the reboot?,Check the reboot.,"['Do nothing with the reboot.', 'Use a different reboot.']"
5,"If it is damaged, inspect the repair.",Automotive,Advanced,"['inspection', 'repair', 'oil']",Conditional Sentences,Difficult,Reading,Inspect the repair.,What happens if the it is damaged?,Inspect the repair.,"['Do nothing with the repair.', 'Use a different repair.']"
6,You should inspect the tools.,Construction,Intermediate,"['safety', 'tools', 'harness']",Modal Verbs,Moderate,Speaking,Inspect the tools.,What is recommended to do with the tools?,Inspect the tools.,"['Use a different tools.', 'Do nothing with the tools.']"
7,You should check the irrigation.,Agriculture,Intermediate,"['yield', 'irrigation', 'soil']",Modal Verbs,Moderate,Writing,Check the irrigation.,What is recommended to do with the irrigation?,Check the irrigation.,"['Use a different irrigation.', 'Do nothing with the irrigation.']"
8,Please inspect the brakes.,Automotive,Intermediate,"['inspection', 'brakes', 'engine']",Imperative Sentences,Moderate,Listening,Inspect the brakes.,What should you do with the brakes?,Inspect the brakes.,"['Do nothing with the brakes.', 'Use a different brakes.']"
9,soil must be inspect.,Agriculture,Advanced,"['soil', 'yield', 'crop']",Passive Voice,Difficult,Reading,Inspect the soil.,What must be done with the soil?,Inspect the soil.,"['Do nothing with the soil.', 'Ignore the soil.']"
10,the supervisor said to store the oil.,Automotive,Intermediate,"['repair', 'oil', 'engine']",Reported Speech,Moderate,Listening,Store the oil.,What did the supervisor say?,Store the oil.,"['Ignore the oil.', 'Use a different oil.']"
11,You should inspect the temperature.,Healthcare,Beginner,"['stored', 'temperature', 'nurse']",Modal Verbs,Easy,Listening,Inspect the temperature.,What is recommended to do with the temperature?,Inspect the temperature.,"['Use a different temperature.', 'Do nothing with the temperature.']"
12,shift must be store.,Hospitality,Advanced,"['hygiene', 'workstation', 'shift']",Passive Voice,Difficult,Speaking,Store the shift.,What must be done with the shift?,Store the shift.,"['Ignore the shift.', 'Do nothing with the shift.']"
13,sales must be inspect.,Retail,Beginner,"['checkout', 'customer', 'sales']",Passive Voice,Easy,Writing,Inspect the sales.,What must be done with the sales?,Inspect the sales.,"['Use a different sales.', 'Ignore the sales.']"
14,the supervisor said to check the harness.,Construction,Intermediate,"['harness', 'safety', 'equipment']",Reported Speech,Moderate,Speaking,Check the harness.,What did the supervisor say?,Check the harness.,"['Ignore the harness.', 'Use a different harness.']"
15,Please secure the hardware.,IT,Intermediate,"['network', 'system', 'hardware']",Imperative Sentences,Moderate,Reading,Secure the hardware.,What should you do with the hardware?,Secure the hardware.,"['Ignore the hardware.', 'Use a different hardware.']"
16,You should inspect the harness.,Construction,Advanced,"['safety', 'harness', 'tools']",Modal Verbs,Difficult,Speaking,Inspect the harness.,What is recommended to do with the harness?,Inspect the harness.,"['Ignore the harness.', 'Do nothing with the harness.']"
17,equipment must be clean.,Construction,Beginner,"['secured', 'equipment', 'tools']",Passive Voice,Easy,Speaking,Clean the equipment.,What must be done with the equipment?,Clean the equipment.,"['Use a different equipment.', 'Ignore the equipment.']"
18,inventory must be clean.,Retail,Beginner,"['sales', 'inventory', 'customer']",Passive Voice,Easy,Writing,Clean the inventory.,What must be done with the inventory?,Clean the inventory.,"['Use a different inventory.', 'Do nothing with the inventory.']"
19,"If it is damaged, clean the nurse.",Healthcare,Intermediate,"['nurse', 'medication', 'patient']",Conditional Sentences,Moderate,Reading,Clean the nurse.,What happens if the it is damaged?,Clean the nurse.,"['Ignore the nurse.', 'Use a different nurse.']"
20,Please clean the hardware.,IT,Intermediate,"['reboot', 'hardware', 'network']",Imperative Sentences,Moderate,Reading,Clean the hardware.,What should you do with the hardware?,Clean the hardware.,"['Do nothing with the hardware.', 'Ignore the hardware.']"
21,"If it is damaged, check the oil.",Automotive,Beginner,"['oil', 'brakes', 'repair']",Conditional Sentences,Easy,Listening,Check the oil.,What happens if the it is damaged?,Check the oil.,"['Do nothing with the oil.', 'Ignore the oil.']"
22,"If it is damaged, secure the harvest.",Agriculture,Advanced,"['harvest', 'soil', 'irrigation']",Conditional Sentences,Difficult,Reading,Secure the harvest.,What happens if the it is damaged?,Secure the harvest.,"['Use a different harvest.', 'Do nothing with the harvest.']"
23,Please inspect the clean.,Hospitality,Intermediate,"['hygiene', 'clean', 'shift']",Imperative Sentences,Moderate,Writing,Inspect the clean.,What should you do with the clean?,Inspect the clean.,"['Ignore the clean.', 'Use a different clean.']"
24,Please store the clean.,Hospitality,Beginner,"['clean', 'shift', 'hygiene']",Imperative Sentences,Easy,Writing,Store the clean.,What should you do with the clean?,Store the clean.,"['Do nothing with the clean.', 'Ignore the clean.']"
25,the supervisor said to inspect the sales.,Retail,Advanced,"['customer', 'product', 'sales']",Reported Speech,Difficult,Writing,Inspect the sales.,What did the supervisor say?,Inspect the sales.,"['Use a different sales.', 'Ignore the sales.']"
26,You should clean the hygiene.,Hospitality,Advanced,"['hygiene', 'clean', 'service']",Modal Verbs,Difficult,Writing,Clean the hygiene.,What is recommended to do with the hygiene?,Clean the hygiene.,"['Ignore the hygiene.', 'Use a different hygiene.']"
27,"If it is damaged, check the harvest.",Agriculture,Advanced,"['yield', 'crop', 'harvest']",Conditional Sentences,Difficult,Writing,Check the harvest.,What happens if the it is damaged?,Check the harvest.,"['Do nothing with the harvest.', 'Ignore the harvest.']"
28,the supervisor said to check the sales.,Retail,Beginner,"['product', 'inventory', 'sales']",Reported Speech,Easy,Writing,Check the sales.,What did the supervisor say?,Check the sales.,"['Use a different sales.', 'Ignore the sales.']"
29,Please store the inspection.,Automotive,Intermediate,"['repair', 'inspection', 'oil']",Imperative Sentences,Moderate,Reading,Store the inspection.,What should you do with the inspection?,Store the inspection.,"['Use a different inspection.', 'Ignore the inspection.']"
30,the supervisor said to inspect the patient.,Healthcare,Beginner,"['patient', 'nurse', 'stored']",Reported Speech,Easy,Listening,Inspect the patient.,What did the supervisor say?,Inspect the patient.,"['Do nothing with the patient.', 'Ignore the patient.']"
31,"If it is damaged, inspect the temperature.",Healthcare,Beginner,"['temperature', 'medication', 'stored']",Conditional Sentences,Easy,Reading,Inspect the temperature.,What happens if the it is damaged?,Inspect the temperature.,"['Do nothing with the temperature.', 'Ignore the temperature.']"
32,"If it is damaged, check the inventory.",Retail,Advanced,"['checkout', 'inventory', 'product']",Conditional Sentences,Difficult,Speaking,Check the inventory.,What happens if the it is damaged?,Check the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
33,"If it is damaged, secure the engine.",Automotive,Advanced,"['inspection', 'engine', 'brakes']",Conditional Sentences,Difficult,Reading,Secure the engine.,What happens if the it is damaged?,Secure the engine.,"['Do nothing with the engine.', 'Ignore the engine.']"
34,soil must be inspect.,Agriculture,Intermediate,"['soil', 'crop', 'yield']",Passive Voice,Moderate,Reading,Inspect the soil.,What must be done with the soil?,Inspect the soil.,"['Ignore the soil.', 'Use a different soil.']"
35,"If it is damaged, check the crop.",Agriculture,Intermediate,"['crop', 'irrigation', 'yield']",Conditional Sentences,Moderate,Writing,Check the crop.,What happens if the it is damaged?,Check the crop.,"['Ignore the crop.', 'Do nothing with the crop.']"
36,network must be inspect.,IT,Beginner,"['network', 'hardware', 'system']",Passive Voice,Easy,Reading,Inspect the network.,What must be done with the network?,Inspect the network.,"['Use a different network.', 'Ignore the network.']"
37,You should check the inspection.,Automotive,Beginner,"['brakes', 'oil', 'inspection']",Modal Verbs,Easy,Listening,Check the inspection.,What is recommended to do with the inspection?,Check the inspection.,"['Use a different inspection.', 'Ignore the inspection.']"
38,Please check the service.,Hospitality,Intermediate,"['hygiene', 'service', 'workstation']",Imperative Sentences,Moderate,Speaking,Check the service.,What should you do with the service?,Check the service.,"['Ignore the service.', 'Use a different service.']"
39,"If it is damaged, clean the irrigation.",Agriculture,Intermediate,"['yield', 'irrigation', 'crop']",Conditional Sentences,Moderate,Reading,Clean the irrigation.,What happens if the it is damaged?,Clean the irrigation.,"['Use a different irrigation.', 'Do nothing with the irrigation.']"
40,Please store the inspection.,Automotive,Beginner,"['inspection', 'engine', 'repair']",Imperative Sentences,Easy,Reading,Store the inspection.,What should you do with the inspection?,Store the inspection.,"['Ignore the inspection.', 'Use a different inspection.']"
41,Please secure the shift.,Hospitality,Intermediate,"['service', 'hygiene', 'shift']",Imperative Sentences,Moderate,Writing,Secure the shift.,What should you do with the shift?,Secure the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
42,the supervisor said to secure the sales.,Retail,Advanced,"['inventory', 'customer', 'sales']",Reported Speech,Difficult,Speaking,Secure the sales.,What did the supervisor say?,Secure the sales.,"['Use a different sales.', 'Ignore the sales.']"
43,the supervisor said to inspect the crop.,Agriculture,Advanced,"['irrigation', 'crop', 'harvest']",Reported Speech,Difficult,Reading,Inspect the crop.,What did the supervisor say?,Inspect the crop.,"['Use a different crop.', 'Do nothing with the crop.']"
